Year,Month,Day,Activity,Time,cleaned_species
2023,July,14,Surfing,03:00 PM,Not Specified
2023,July,4,Snorkeling,Not Specified,Not Specified
2023,July,4,Standing,04:25 PM,Not Specified
2023,July,4,Swimming,01:55 PM,Not Specified
2023,July,4,Swimming,01:50 PM,Not Specified
2023,July,3,Surfing,05:20 PM,Not Specified
2023,July,3,Swimming,01:45 PM,Tiger Shark
2023,June,23,Swimming,Not Specified,Not Specified
2023,June,23,Fishing,10:10 AM,Not Specified
2023,June,8,Swimming,03:00 PM,Tiger Shark
2023,June,7,Scuba diving,01:00 PM,Caribbean Reef Shark
2023,May,28,Kite surfing,02:35 PM,Grey Reef Shark
2023,May,28,Spearfishing,11:00 AM,Not Specified
2023,May,25,Snorkeling,03:00 PM,Caribbean Reef Shark
2023,May,24,Jumped overboard,Not Specified,Not Specified
2023,May,21,Surfing,03:00 PM,Not Specified
2023,May,19,Fishing,08:00 PM,Not Specified
2023,May,18,Spearfishing,03:00 PM,Not Specified
2023,May,14,Swimming,05:00 PM,Not Specified
2023,May,13,Surfing,10:10 AM,White Shark
2023,May,11,Sitting,Not Specified,Bull Shark
2023,May,11,Kayak fishing,Not Specified,Tiger Shark
2023,May,5,Spearfishing,11:30 AM,Not Specified
2023,May,3,Surfing,07:15 PM,Not Specified
2023,May,1,Diving for crayfish,Not Specified,Not Specified
2023,April,29,Swimming,11:20 AM,Not Specified
2023,April,29,Snorkeling,03:00 PM,Not Specified
2023,April,23,Spearfishing,Not Specified,Bull Shark
2023,April,22,Surfing,07:15 AM,Bronze Whaler Shark
2023,April,11,Windsurfing,03:00 PM,Not Specified
2023,April,9,Kayak fishing,07:00 AM,Not Specified
2023,April,9,Surfing,07:00 AM,Tiger Shark
2023,March,25,Kite-Surfing,02:00 PM,Not Specified
2023,March,22,Wading,06:00 PM,Not Specified
2023,March,19,Swimming,12:30 PM,Not Specified
2023,March,17,Swimming,Not Specified,Not Specified
2023,March,16,Surf-sking,08:00 AM,Not Specified
2023,March,6,Swimming,02:20 PM,Not Specified
2023,March,5,Swimming,Not Specified,Not Specified
2023,March,2,Snorkeling,Not Specified,Lemon Shark
2023,February,21,Surfing,04:30 PM,Not Specified
2023,February,19,Swimming,04:00 PM,Bull Shark
2023,February,19,Surfing,05:30 PM,Not Specified
2023,February,18,Not Specified,Not Specified,Not Specified
2023,February,17,Spearfishing,07:20 AM,Not Specified
2023,February,4,Swimming,03:30 PM,Bull Shark
2023,January,30,Fishing,Not Specified,Not Specified
2023,January,5,Diving with  surface-supplied air,11:30 AM,Not Specified
2023,January,1,Spearishing,02:50 PM,Mako Shark
2023,January,1,Snorkeling at Shark Feeding site,Not Specified,Nurse Shark
2022,December,30,Diving/Shark Feeding,09:00 AM,Blacktip Shark
2022,December,13,Swimming,08:00 AM,Tiger Shark
2022,December,11,Swimming,Not Specified,Not Specified
2022,December,9,Diving,12:00 PM,Not Specified
2022,December,8,Snorkeling,12:00 PM,Tiger Shark
2022,December,7,Surfing,Not Specified,Blacktip Shark
2022,November,27,Swimming,Not Specified,Not Specified
2022,November,4,Swimming,10:00 AM,White Shark
2022,November,3,Fishing,03:30 PM,Not Specified
2022,October,31,Surfing,05:17 PM,Not Specified
2022,October,28,Fishing,Not Specified,Not Specified
2022,October,28,Diving,Not Specified,Not Specified
2022,October,27,Fishing,Not Specified,Not Specified
2022,October,25,Snorkeling,Not Specified,Tiger Shark
2022,October,23,Surf skiing ,11:15 AM,Not Specified
2022,October,10,Fishing,Not Specified,Nurse Shark
2022,October,8,Shipwreck,Not Specified,Not Specified
2022,October,7,Spearfishing,11:30 AM,Bull Shark
2022,October,6,Surfing,07:00 PM,Not Specified
2022,October,2,Surfing,03:30 PM,White Shark
2022,September,25,Swimming,07:53 AM,White Shark
2022,September,22,Spearfishing,Not Specified,Not Specified
2022,September,6,Snorkeling,02:00 PM,Bull Shark
2022,September,3,Swimming  or Snorkeling,04:10 PM,Not Specified
2022,August,31,Surfing,07:00 AM,Bronze Whaler Shark
2022,August,17,Kayaking,Not Specified,White Shark
2022,August,15,Swimming,11:17 AM,Not Specified
2022,August,15,Standing,12:00 PM,Blacktip Shark
2022,August,15,Spearfishing,Not Specified,White Shark
2022,August,13,Snorkeling,04:00 PM,Bull Shark
2022,August,10,Paddleboarding,11:30 AM,Not Specified
2022,July,28,Snorkeling,12:30 PM,Blue Shark
2022,July,27,Lobstering,Not Specified,Nurse Shark
2022,July,25,Wading,03:00 PM,Blacktip Shark
2022,July,20,Surfing,05:45 PM,Not Specified
2022,July,19,Not Specified,Not Specified,Not Specified
2022,July,19,Surfing,Not Specified,Not Specified
2022,July,17,Fishing,05:30 PM,Lemon Shark
2022,July,16,Not Specified,01:12 PM,Not Specified
2022,July,13,Not Specified,06:00 PM,Not Specified
2022,July,13,Surfing,07:30 AM,Tiger Shark
2022,July,10,Surfing,Not Specified,Not Specified
